city,time,title,km,排量,变速箱,origin_price,price,rule,过户次数,kg,气缸数,最大马力,oil_num
苏州,2016,大众POLO,2.91,1.6,自动,12.8,7.08,国5,0,1135,4缸,110,92
厦门,2014,中兴C3,14.01,1.5,手动,6.38,1.98,国4,1,1210,4缸,113,92
郑州,2017,奔驰C级,2.87,2,自动,34.17,24.8,国5,0,1550,4缸,184,95
长沙,2014,标致308,4.88,1.6,手动,12.36,4.87,国5,0,1325,4缸,117,92
重庆,2009,大众POLO,12.48,1.6,手动,10.59,2.28,国4,0,1155,4缸,105,92
青岛,2015,福特,6.12,1.6,自动,13.55,6.17,国4,1,1336,4缸,125,92
青岛,2014,大众,8.89,1.6,自动,16.37,6.78,国4,1,1340,4缸,105,92
南昌,2015,福特,5.14,1.5,自动,13,6,国5,0,1300,4缸,113,92
潍坊,2010,别克,8.13,2,自动,22.13,5.35,国4,3,1555,4缸,147,92
武汉,2012,日产,7.95,2,自动,19.63,7.38,国4,1,1436,4缸,144,92
宁波,2015,奥迪TT,3.57,2,自动,58.92,32.4,国5,1,1350,4缸,230,95
哈尔,2011,现代,5.02,1.6,自动,11.92,3.98,国4,0,1215,4缸,123,92
佛山,2014,别克,17.73,2,自动,29.3,11.98,国5,0,1800,4缸,260,95
唐山,2016,日产,2.97,1.6,自动,13.34,9.49,国5,0,1224,4缸,126,92
济宁,2014,马自达,2.91,2,自动,22.34,11.28,国4,0,1469,4缸,158,92
潍坊,2015,大众,5.19,1.4,自动,15.95,8.38,国5,0,1290,4缸,131,95
唐山,2013,宝马X1,3.97,2,自动,30.94,13,国4,0,1580,4缸,150,95
长沙,2011,雪佛兰,5.65,1.6,自动,13.88,3.38,国4,0,1390,4缸,121,92
北京,2014,别克GL8,14.8,2.4,自动,35.81,16.8,国5,0,1860,4缸,186,92
重庆,2015,福特,6.12,1.5,自动,13,6.5,国5,1,1300,4缸,113,92
昆明,2013,雪佛兰,7.35,1.8,自动,14.86,4.26,国4,0,1410,4缸,147,92
无锡,2014,北汽绅宝,7.04,1.5,手动,8.88,2.6,国4,0,1270,4缸,113,92
临沂,2011,纳智捷,7.8,2.2,自动,23.64,5.3,国4,5,1860,4缸,178,92
苏州,2017,奔驰C级,2.22,2,自动,34.17,24.7,国5,0,1550,4缸,184,95
唐山,2014,现代,2.92,1.4,自动,10.08,5,国5,0,1086,4缸,107,92
苏州,2016,马自达CX15504,1.89,2,自动,18.43,11.8,国5,1,1450,4缸,158,92
重庆,2015,福特,10.28,1.5,自动,13,6.38,国5,0,1300,4缸,113,92
成都,2011,现代,10.7,2,自动,19.53,6.38,国4,0,1460,4缸,165,92
